subdomain,ip,source
c3cd9d4-openvpn.prebuilt-app.bizflycloud.vn,103.107.182.233,rapiddns
11644d9-cwp.prebuilt-app.bizflycloud.vn,103.148.57.251,alienvault
42adf47-bigbluebutton.prebuilt-app.bizflycloud.vn,103.107.183.143,alienvault
id12312345.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
6098dba823d7b3f59922186e.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
606d579859ae154eadd5b517.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
8f22822-redmine.prebuilt-app.bizflycloud.vn,103.69.193.209,hackertarget
9bb336a-cwp.prebuilt-app.bizflycloud.vn,103.109.43.217,hackertarget
b2e19f0-moodle.prebuilt-app.bizflycloud.vn,45.124.94.83,hackertarget
b408ef8-cwp.prebuilt-app.bizflycloud.vn,103.56.157.9,rapiddns
606d18e88393d42df27a2d62.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
7e0af97-magento.prebuilt-app.bizflycloud.vn,103.153.73.134,rapiddns
id1231234.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
4e69d50-magento.prebuilt-app.bizflycloud.vn,103.107.182.57,hackertarget
45271db-cwp.prebuilt-app.bizflycloud.vn,103.148.57.142,alienvault
livestream.bizflycloud.vn,123.31.11.88,crtsh
bizfly-smtp-relay-47.bizflycloud.vn,123.31.8.44,hackertarget
683781c-jitsi.prebuilt-app.bizflycloud.vn,103.153.74.228,rapiddns
testitd.cc.bizflycloud.vn,123.30.41.77,hackertarget
607e987e2f20a5b6385d40f8.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
5927668-cwp.prebuilt-app.bizflycloud.vn,103.153.73.236,hackertarget
bb2d6b0-cwp.prebuilt-app.bizflycloud.vn,103.153.73.8,rapiddns
606d21d39f57cb35c58cebe2.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
607e7fb72f20a5b6385d3fc5.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
images-molisart.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
ba5ddf6-magento.prebuilt-app.bizflycloud.vn,103.153.73.231,alienvault
f68cb8e-joomla.prebuilt-app.bizflycloud.vn,103.56.158.240,rapiddns
7efedf2-mattermost.prebuilt-app.bizflycloud.vn,14.225.27.198,hackertarget
0fe85cd-clearos.prebuilt-app.bizflycloud.vn,45.124.95.130,alienvault
606d1c118393d42df27a2d6b.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
14f3a5a-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.49,hackertarget
60a46cf2eba514d05a301776.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
5394dc0-mattermost.prebuilt-app.bizflycloud.vn,103.148.57.122,crtsh
bizfly-smtp-relay-16.bizflycloud.vn,123.31.8.146,hackertarget
5d3b146-cwp.prebuilt-app.bizflycloud.vn,103.153.73.118,hackertarget
308f6c8-openvpn.prebuilt-app.bizflycloud.vn,103.56.157.74,hackertarget
609a237e23d7b3f59922189a.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
c9bb27e-openvpn.prebuilt-app.bizflycloud.vn,103.153.74.87,rapiddns
63b202e-joomla.prebuilt-app.bizflycloud.vn,103.56.156.159,hackertarget
2fabf7b-openvpn.prebuilt-app.bizflycloud.vn,103.109.43.204,crtsh
ads.bizflycloud.vn,123.30.151.81,crtsh
bizfly-smtp-relay-7.bizflycloud.vn,103.159.60.244,hackertarget
4ac31bc-joomla.prebuilt-app.bizflycloud.vn,45.124.94.53,rapiddns
dfccdac-mattermost.prebuilt-app.bizflycloud.vn,103.153.73.128,rapiddns
hcm-staging.dev.bizflycloud.vn,172.19.241.14,hackertarget
ns5.bizflycloud.vn,210.211.126.74,hackertarget
684e13b-magento.prebuilt-app.bizflycloud.vn,123.30.234.80,rapiddns
155fd37-cwp.prebuilt-app.bizflycloud.vn,103.107.182.62,hackertarget
c8dc6e6-openvpn.prebuilt-app.bizflycloud.vn,14.225.27.154,rapiddns
bizflycloud.vn,14.225.10.20,digitorus
4da0991-nextcloud.prebuilt-app.bizflycloud.vn,103.107.182.100,leakix
1b65479-cwp.prebuilt-app.bizflycloud.vn,103.148.57.61,alienvault
60b06860ed226a5c554ca010.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
22b4bd8-cwp.prebuilt-app.bizflycloud.vn,103.107.183.187,alienvault
90239c6-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.211,alienvault
2f2423b-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.125,hackertarget
28ea725-jitsi.prebuilt-app.bizflycloud.vn,14.225.27.114,hackertarget
8833560-cwp.prebuilt-app.bizflycloud.vn,103.153.73.154,crtsh
3280cf8-cwp.prebuilt-app.bizflycloud.vn,103.107.183.48,crtsh
backup-staging.bizflycloud.vn,123.31.11.49,hackertarget
capt-se155.bizflycloud.vn,103.69.195.226,hackertarget
0e259ed-owncloud.prebuilt-app.bizflycloud.vn,103.107.183.59,hackertarget
hcm.manage.bizflycloud.vn,103.153.72.40,hackertarget
60b6edbae57641dd2db86169.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
d67b8fe-cwp.prebuilt-app.bizflycloud.vn,103.56.158.7,crtsh
79679c3-openvpn.prebuilt-app.bizflycloud.vn,123.30.234.147,crtsh
maico-hub-record.ss-hn-1.bizflycloud.vn,103.107.180.241,waybackarchive
api.cdn.bizflycloud.vn,123.30.151.66,digitorus
capt-se185.bizflycloud.vn,103.69.195.78,hackertarget
ccc1138-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.207,alienvault
aa99b20-redmine.prebuilt-app.bizflycloud.vn,103.56.157.213,crtsh
bizfly-smtp-relay-44.bizflycloud.vn,103.159.60.138,hackertarget
f0a0f71-moodle.prebuilt-app.bizflycloud.vn,103.107.182.162,rapiddns
